"mid","title","date_from_numeric","date_from","date_to_numeric","date_to","tag","description","location","add_date","modified_date","status","note","extra","uid"
"196","1920Haskell","1920","1920","1926","1926","Textbooks on graphics","&lt;p&gt;Numerous textbooks on graphics, describing principles of graphical presentation of numerical information (published at a rate of about two each year), e.g.,&lt;/p&gt;","USA","2008-07-17","2008-07-17","published",,,"1"
"197","1923Zworykin","1923","1923","1923","1923","Television camera-tube","&lt;p&gt;Invention of the iconoscope television camera-tube&lt;/p&gt;","Russia","2007-02-01","2008-07-17","published",,,"3"
"198","1924Neurath","1924","1924","1924","1924","ISOTYPE method","&lt;p&gt;Museum of Social Statistical Graphics and the ISOTYPE system (International System of Typographic Picture Education)&lt;/p&gt;","Social and Economic Museum, Vienna, Austria","2008-07-17","2008-07-17","published",,,"1"
"199","1925Shewhart","1925","1925","1925","1925","Control chart","&lt;p&gt;Development of the control chart for statistical control of industrial processes&lt;/p&gt;","USA","2007-02-01","2008-07-17","published",,,"1"
"200","1926Eells","1926","1926","1926","1926","Test of graphics","&lt;p&gt;Experimental test of statistical graphical forms (pie vs. subdivided bar charts)&lt;/p&gt;","USA","2008-07-17","2008-07-17","published",,,"1"
"201","1927Huhn","1927","1927","1932","1932","Tests of graphics","&lt;p&gt;Spate of articles on experimental tests of statistical graphical forms&lt;/p&gt;","USA","2008-07-17","2008-07-17","published",,,"1"
"202","1927Thurstone","1927","1927","1934","1934","Vectors of the mind","&lt;p&gt;The birth of psychometrics, including unidimensional scaling (the law of comparative judgment) and multiple factor analysis. This would give rise to visualizations in one or more dimensions of psychological constructs, like attitudes, preferences, and abilities.&lt;/p&gt;","Chicago, USA","2004-12-07","2008-07-17","published",,,"1"
"203","1928Henderson","1928","1928","1928","1928","Nomogram","&lt;p&gt;Nomogram of chemical concentrations in blood, showing the relations among over 20 components&lt;/p&gt;","USA","2008-07-17","2008-07-17","published",,,"1"
"204","1928Anderson","1928","1928","1928","1928","Ideograph","&lt;p&gt;Ideograph, a multivariate rectangular glyph, invented to display four variables and their relations (length and width of petals and sepals in iris flowers)&lt;/p&gt;","USA","2007-02-01","2008-07-17","published",,,"1"
"205","1929Berger","1929","1929","1929","1929","Electroencephalograph","&lt;p&gt;Electroencephalograph invented, to record electrical signals from the brain via galvanometers that measure electrical signals from electrodes on the scalp. EEGs were printed on multiple-pen, strip-chart recorders, with each channel showing the the amplitude from a given electrode.&lt;/p&gt;","Austria","2007-02-01","2008-07-17","published","In 1924, Berger made the first EEG recording in man and called it Electroenkephalogram. Berger was the first to describe the different brainwaves in the normal and abnormal brain.  He also researched the nature of changes in EEG for brain diseases such as epilepsy.",,"3"
"206","1930vonFoerster","1930","1930","1930","1930","Timeline on log scale","&lt;p&gt;Table of historical events drawn on logarithmic paper&lt;/p&gt;","Austria","2007-02-01","2010-01-07","published","von Foerster observed that the closer to the present, the more densely filled the paper was with historical events; conversely, the further you went back the thinner the table. Plotting the data using a logarithmic time scale allowed the history of time to be plotted on one table.",,"7"
"207","1931Martin","1931","1931","1931","1931","Log-log paper","&lt;p&gt;&quot;Log Square&#039;&#039; paper ($log y, log x$, for relations which are linear in log scales)&lt;/p&gt;","USA","2008-07-17","2008-07-17","published",,,"1"
"208","1933Neurath","1933","1933","1933","1933","Std. statistical symbols","&lt;p&gt;Standard statistical symbols (Neurath&#039;s Isotype method) established by government decree (for schools, public posters, etc.)&lt;/p&gt;","Russia","2008-07-17","2008-07-17","published",,,"1"
"209","1933Beck","1933","1933","1933","1933","London Underground map","&lt;p&gt;Re-design of the routes of the London underground rail system to favor usability&lt;/p&gt;","London, England, UK","2005-01-07","2008-07-17","published","Beck, an engineering draughtsman, designed the map like an electrical circuit board, using only vertical, horizontal and 45 degree angled lines. He located stations according to available space.  The resulting map was geographically inaccurate, but easier to use to determine how to get from point A to B. Beck&#039;s idea was soon copied by most subway (and bus) companies around the world.",,"1"
"210","1935Unknown","1935","1935","1950","1950","Lapse of interest","&lt;p&gt;Lapse of interest in statistical graphics, as concern with formal, &quot;precise&#039;&#039;, and numerical methods gained ascendancy (the modern &quot;dark ages&#039;&#039; of statistical graphics)cite{FriendlyDenis:2001:valois}.&lt;/p&gt;","NA","2008-07-17","2008-07-17","published",,,"1"
"211","1937Funkhouser","1937","1937","1937","1937","History of graphics","&lt;p&gt;First modern review of the early history of statistical graphics&lt;/p&gt;","USA","2008-07-17","2008-07-17","published",,,"1"
"212","1939Bush","1939","1939","1939","1939","Memex","&lt;p&gt;Description of a memex, an associative information retrieval system which would help someone find information based in association and context rather than strict categorical indexing; conceptual creation of &quot;hyperlink&#039;&#039; and the &#039;&#039;World Wide Web&#039;&#039;&lt;/p&gt;","USA","2007-02-01","2008-07-17","published","He foresaw this operating on an electric analog computer, which was completed in 1942.  His description was published in the Atlantic Monthly, &quot;As We May Think&#039;&#039; July, 1945",,"3"
"213","1944Aiken","1944","1944","1944","1944","1st digital computer","&lt;p&gt;Harvard&#039;s Mark I, the first digital computer, put in service. Officially known as the &quot;IBM Automatic Sequence Controlled Calculator&#039;&#039; (ASCC), the Mark I was 50 feet long and weighed about 5 tons.&lt;/p&gt;","USA","2007-02-01","2008-07-17","published","The first official record of the use of the word &quot;bug&#039;&#039; in the context of computing is associated with a relay-basedHarvard Mark II computer, which was in service at the Naval Weapons Center in Dahlgren, Virginia. On September 9th, 1945, a mothflew into one of the relays and jammed it. The offending moth was taped into the log book alongside the official report, whichstated: &quot;First actual case of a bug being found.&#039;&#039;",,"1"
"214","1944Harmon","1944","1944","1944","1944","Factor rotation machine","&lt;p&gt;Development of an electro-mechanical machine to aid in the rotation of multidimensional factor analysis solutions to &quot;simple structure.&#039;&#039; This allowed an analyst to carry out by direct manipulation of dials what one did by plotting pairs of factors, and hand calculation of the rotation matrices in earlier times [(work carried out under the Adjutant General for development of the Armed Forces General Classification Test) cite{Tucker:2002}]&lt;/p&gt;","USA","2007-02-01","2008-07-17","published",,,"1"
"215","1957Anderson","1957","1957","1957","1957","Circular glyphs","&lt;p&gt;Circular glyphs, with rays to represent multivariate data&lt;/p&gt;","USA","2008-07-17","2008-07-17","published",,,"1"
"216","1957Backus","1957","1957","1957","1957","Fortran","&lt;p&gt;Creation of Fortran, the Formula Translation language for the IBM 704 computer. This was the first high-level language for computing.&lt;/p&gt;","USA","2007-02-01","2008-07-17","published",,,"3"
"217","1958Phillips","1958","1958","1958","1958","Phillips curve","&lt;p&gt;The &quot;Phillips Curve,&#039;&#039; a scatterplot of inflation vs. unemployment over time shows a strong inverse relation, leading to important developments in macroeconomic theory&lt;/p&gt;","NZ","2006-03-04","2010-01-07","published",,,"7"
"218","1962Kruskal","1962","1962","1962","1962","Modern statistical graphics","&lt;p&gt;Beginnings of modern dynamic statistical graphics (a 1 minute movie of the iterative process of finding a multidimensional scaling solution)&lt;/p&gt;","Bell Labs, USA","2007-02-01","2008-07-17","published",,,"1"
"219","1965Tukey","1965","1965","1965","1965","Exploratory data analysis","&lt;p&gt;Beginnings of EDA: improvements on histogram in analysis of counts, tail values (hanging rootogram)&lt;/p&gt;","USA","2008-07-17","2008-07-17","published",,,"1"
"220","1966Pickett","1966","1966","1966","1966","Triangular glyphs","&lt;p&gt;Triangular glyphs to represent simultaneously four variables, using sides and orientation&lt;/p&gt;","USA","2008-07-17","2008-07-17","published",,,"1"
"221","1960sFisher","1960","1960","1960","ca. 1960","GIS","&lt;p&gt;Initial development of geographic information systems, combining spatially-referenced data, spatial models and map-based visualization. Example: Harvard Laboratory for Computer Graphics (and Spatial Analysis) develops SYMAP, producing isoline, choropleth and proximal maps on a line printer&lt;/p&gt;","USA","2007-02-01","2012-08-16","published",,,"10"
"222","1967Bertin","1967","1967","1967","1967","Theory of graphic symbols","&lt;p&gt;Comprehensive theory of graphical symbols and modes of graphics representation&lt;/p&gt;","France","2008-07-17","2008-07-17","published","Among other things, Bertin introduced the idea of reordering qualitative variables in graphical displaysto make relations more apparent--- the reorderable matrix.",,"1"
"223","1968Bachi","1968","1968","1968","1968","Graphical rational patterns","&lt;p&gt;Systematic &quot;graphical rational patterns&#039;&#039; for statistical presentation&lt;/p&gt;","Israel","2008-07-17","2008-07-17","published",,,"1"
"224","1969Tukey","1969","1969","1969","1969","Exploratory data analysis","&lt;p&gt;Graphical innovations for exploratory data analysis (stem-and-leaf, graphical lists, box-and-whisker plots, two-way and extended-fit plots, hanging and suspended rootograms)&lt;/p&gt;","USA","2008-07-17","2008-07-17","published",,,"1"
"225","1969Barnard","1969","1969","1969","1969","Cathode ray tube","&lt;p&gt;Suggestion for displaying five variables by means of movements on a CRT&lt;/p&gt;","England, UK","2008-07-17","2008-07-17","published",,,"1"
"226","1969Fowlkes","1969","1969","1969","1969","1st interactive system","&lt;p&gt;The first well-known direct manipulation interactive system in statistics: allowed users to interactively control a power transformation in realtime for probability plotting&lt;/p&gt;","USA","2008-07-17","2008-07-17","published",,,"1"
"227","1971Siegel","1971","1971","1971","1971","Star plot","&lt;p&gt;Irregular polygon (&quot;star plot&#039;&#039;) to represent multivariate data (with vertices at equally spaced intervals, distance from center proportional to the value of a variable) [but see Georg von Mayr in 1877 cite[S. 78]{vonMayr:1877} for first use]&lt;/p&gt;","USA","2008-07-17","2008-07-17","published",,,"1"
"228","1971Biderman","1971","1971","1971","1971","Social indicator reporting","&lt;p&gt;Proposal to use statistical graphics in social indicator reporting, particularly on television&lt;/p&gt;","USA","2008-07-17","2008-07-17","published",,,"1"
"229","1971Gabriel","1971","1971","1971","1971","Biplot","&lt;p&gt;Development of the biplot, a method for visualizing both the observations and variables in a multivariate data set in a single display. Observations are typically represented by points, variables by vectors, such that the position of a point along a vector represents the data value&lt;/p&gt;","USA","2007-02-01","2008-07-17","published",,,"1"
"230","1972Andrews","1972","1972","1972","1972","Fourier series","&lt;p&gt;Form of Fourier series to generate plots of multivariate data&lt;/p&gt;","Canada","2007-02-01","2008-07-17","published",,,"1"
"231","1973Chernoff","1973","1973","1973","1973","Chernoff faces","&lt;p&gt;Cartoons of human face to represent multivariate data&lt;/p&gt;","USA","2008-07-17","2008-07-17","published",,,"1"
"232","1973USBudget","1973","1973","1973","1973","Social indicator chartbook","&lt;p&gt;USA Government chartbook devoted exclusively to reporting social indicator statistics&lt;/p&gt;","USA","2008-07-17","2008-07-17","published",,,"1"
"233","1973Barabba","1973","1973","1976","1976","Innovation","&lt;p&gt;Revival of statistical graphics innovation, use by U.S. Bureau of the Census&lt;/p&gt;","USA","2008-07-17","2008-07-17","published",,,"1"
"234","1974USCensus","1974","1974","1974","1974","Bivariate matrix","&lt;p&gt;Color-coded bivariate matrix to represent two intervally measured variables in a single map (Urban Atlas series)[but see Georg von Mayr in 1874 cite[Fig. XIX]{vonMayr:1874} for first use]&lt;/p&gt;","USA","2008-07-17","2008-07-17","published",,,"1"
"235","1974Wainer","1974","1974","1974","1974","Comparative graphics","&lt;p&gt;Comparative experimental test of histogram, hanging histogram and hanging rootogram&lt;/p&gt;","USA","2008-07-17","2008-07-17","published",,,"1"
"236","1974Fishkeller","1974","1974","1974","1974","PRIM-9","&lt;p&gt;Start of true interactive graphics in statistics; PRIM-9, the first system in statistics with 3-D data rotations provided dynamic tools for projecting, rotating, isolating and masking multidimensional data in up to nine dimensions&lt;/p&gt;","USA","2008-07-17","2008-07-17","published",,,"1"
"237","1975Census","1975","1975","1975","1975","Chartbook","&lt;p&gt;Weekly chartbook (eventually computer-generated) to brief U.S. President, Vice President on economic and social matters&lt;/p&gt;","USA","2008-07-17","2008-07-17","published",,,"1"
"238","1975Fienberg","1975","1975","1975","1975","Circular display","&lt;p&gt;&quot;Four-Fold Circular Display&#039;&#039; to represent 2 x 2 table&lt;/p&gt;","USA","2008-07-17","2008-07-17","published",,,"1"
"239","1975Cleveland","1975","1975","1975","1975","Scatterplot","&lt;p&gt;Enhancement of scatterplot with plots of three moving statistics (midmean and lower and upper semimidmean)&lt;/p&gt;","USA","2008-07-17","2008-07-17","published",,,"1"
"240","1975Chernoff","1975","1975","1975","1975","Chernoff faces","&lt;p&gt;Experiment showing random permutations of features used in Chernoff&#039;s faces affect error rate of classification by about 25 percent&lt;/p&gt;","USA","2008-07-17","2008-07-17","published",,,"1"
"241","1975Ehrenberg","1975","1975","1975","1975","Graphics versus tables","&lt;p&gt;Experimental tests of statistical graphics vs tables, findings favoring latter&lt;/p&gt;","England, UK","2008-07-17","2008-07-17","published",,,"1"
"242","1975Hartigan","1975","1975","1975","1975","scatterplot matrix","&lt;p&gt;Scatterplot matrix, the idea of plotting all pairwise scatterplots for n variables in a tabular display&lt;/p&gt;","USA","2007-02-01","2010-08-09","published",,,"7"
"243","1976USCensus","1975","1975","1975","1975","Chartbook","&lt;p&gt;Monthly chartbook (eventually computer-generated) to brief U.S. President, Vice President on economic and social matters (StatUS)&lt;/p&gt;
&lt;p&gt;&amp;nbsp;&lt;/p&gt;","USA","2008-07-17","2012-08-16","published",,,"10"
"244","1977Wainer","1977","1977","1977","1977","Cartesian rectangle","&lt;p&gt;&quot;Cartesian rectangle&#039;&#039; to represent 2 x 2 table, experimentally tested against other forms&lt;/p&gt;","USA","2008-07-17","2008-07-17","published",,,"1"
"245","1977Association","1977","1977","1977","1977","Committee on graphics","&lt;p&gt;Ad Hoc Committee on Statistical Graphics, leading to the ASA Section on Statistical Graphics, later to the Journal of Computational and Graphical Statistics&lt;/p&gt;","USA","2008-07-17","2008-07-17","published",,,"1"
"246","1978Newton","1978","1978","1978","1978","Linked brushing","&lt;p&gt;Original invention of linked brushing (highlighting of observations selected in one display in another display of the same data), although in a manner different from how we see it in today&#039;s systems&lt;/p&gt;","USA","2008-07-17","2008-07-17","published",,,"1"
"247","1978Becker","1978","1978","1978","1978","S language","&lt;p&gt;S, a language and environment for statistical computation and graphics. S (later sold as a commercial package, S-Plus; more recently, a public-domain implementation, R is widely available), would become a lingua franca for statistical computation and graphics&lt;/p&gt;","Bell Labs, USA","2001-07-02","2012-08-22","published",,,"10"
"248","1979Monmonier","1979","1979","1979","1979","Geographic correlation diagram","&lt;p&gt;Geographic correlation diagram, showing the bivariate relation between two spatially referenced variables using vectors to represent geographic covariation&lt;/p&gt;","USA","2008-04-04","2008-07-17","published",,,"1"
"249","1981Hartigan","1981","1981","1981","1981","Mosaic display","&lt;p&gt;Mosaic display to represent frequencies in a multiway contingency table&lt;/p&gt;","USA","2008-07-17","2009-04-13","published",,,"6"
"250","1981Furnas","1981","1981","1981","1981","Fisheye view","&lt;p&gt;Fisheye view: an idea to provide focus and greater detail in areas of interest of a large amount of information, while retaining the surrounding context in much less detail&lt;/p&gt;","USA","2008-07-17","2008-07-17","published",,,"1"
"251","1981Tukey","1981","1981","1981","1981","Draftsman display","&lt;p&gt;The &quot;draftsman display&#039;&#039; for three-variables (leading soon to the &quot;scatterplot matrix&#039;&#039;) and initial ideas for conditional plots and sectioning (leading later to &quot;coplots&#039;&#039; and &quot;trellis displays&#039;&#039;)&lt;/p&gt;","Bell Labs, USA","2001-10-02","2008-07-17","published",,,"1"
"252","1982McDonald","1982","1982","1982","1982","Brushing","&lt;p&gt;Another early version of brushing, invented independently of Newton, together with a system for 3-D rotations of data&lt;/p&gt;","USA","2008-07-17","2008-07-17","published",,,"1"
"253","1982Monmonier","1982","1982","1982","1982","Visibility base map","&lt;p&gt;Visibiltiy Base Map, a map of the United States where areas are adjusted to provide a readily readable platform for area symbols for smaller states, such as Delaware and Rhode Island, with compensating reductions in the size of larger states&lt;/p&gt;","USA","2007-02-01","2008-07-17","published",,,"1"
"254","1982Rorick","1982","1982","1982","1982","USA Today weather map","&lt;p&gt;The USA Today color weather map begins an era of color information graphics in newspapers. Shortly, colorful visual graphics become widespread.&lt;/p&gt;","USA","2005-01-07","2008-07-17","published","Rorick used a combination of color, maps, tables, symbols and annotation to transform often dull and incomprehensible information into something more interesting and accessible",,"1"
"255","1983Riedwyl","1983","1983","1983","1983","Sieve diagram","&lt;p&gt;Sieve diagram, for representing frequencies in a two-way contingency table&lt;/p&gt;","Switzerland","2008-07-17","2008-07-17","published",,,"1"
"256","1983Tufte","1983","1983","1983","1983","Graphical esthetics","&lt;p&gt;Esthetics and information integrity for graphics defined and illustrated (some concepts: &quot;data-ink ratio&#039;&#039;, &quot;lie factor&#039;&#039;)&lt;/p&gt;","USA","2008-07-17","2008-07-17","published",,,"1"
"257","1985Asimov","1985","1985","1985","1985","Grand tour","&lt;p&gt;Grand tour, for viewing high-dimensional data sets via a structured progression of 2D projections&lt;/p&gt;","USA","2008-07-17","2008-07-17","published",,,"1"
"258","1985Inselberg","1985","1985","1985","1985","Parallel coordinates plot","&lt;p&gt;Parallel coordinates plots for high-dimensional data&lt;/p&gt;","USA","2008-07-17","2010-09-24","published",,,"7"
"259","1987Becker","1987","1987","1987","1987","Interactive linked graphics","&lt;p&gt;Interactive statistical graphics, systematized: allowing brushing, linking, other forms of interaction&lt;/p&gt;","USA","2008-07-17","2008-07-17","published",,,"1"
"260","1988Buja","1988","1988","1988","1988","Interactive grand tours","&lt;p&gt;First inclusion of grand tours in an interactive system that also has linked brushing, linked identification, visual inference from graphics, interactive scaling of plots, etc.&lt;/p&gt;","USA","2008-07-17","2008-07-17","published",,,"1"
"261","1988Unwin","1988","1988","1988","1988","Interactive time-series","&lt;p&gt;Interactive graphics for multiple time series with direct manipulation (zoom, rescale, overlaying, etc.)&lt;/p&gt;","UK","2007-02-01","2008-07-17","published",,,"1"
"262","1989Wills","1989","1989","1989","1989","Interactive maps","&lt;p&gt;Statistical graphics interactively linked to map displays&lt;/p&gt;","Ireland","2007-02-01","2008-10-02","published",,,"2"
"263","1989Mihalisin","1989","1989","1989","1989","Nested dimensions","&lt;p&gt;Use of &quot;nested dimensions&#039;&#039; (related to trellis and mosaic displays) for the visualization of multidimensional data. Continuous variables are binned, and variables are allocated to the horizontal and vertical dimensions in a nested fashion&lt;/p&gt;","USA","2007-02-01","2008-07-17","published",,,"1"
"264","1990Tierney","1990","1990","1990","1990","Lisp-Stat","&lt;p&gt;Lisp-Stat, an object-oriented environment for statistical computing and dynamic graphics&lt;/p&gt;","USA","2008-07-17","2008-07-17","published",,,"1"
"265","1990Hurley","1990","1990","1990","1990","Multivariate grand tours","&lt;p&gt;Grand tours combined with multivariate analysis&lt;/p&gt;","USA","2008-07-17","2008-07-17","published",,,"1"
"266","1990Tukey","1990","1990","1990","1990","Textured dot strips","&lt;p&gt;Textured dot strips to display empirical distributions&lt;/p&gt;","USA","2008-07-17","2008-07-17","published",,,"1"
"267","1990Keiding","1990","1990","1990","1990","Lexis pencil","&lt;p&gt;Lexis pencil: display of multivariate data in the context of life-history&lt;/p&gt;","UK","2008-07-17","2008-07-17","published",,,"1"
"268","1990Wegman","1990","1990","1990","1990","Parallel coordinates plot theory","&lt;p&gt;Statistical theory and methods for parallel coordinates plots&lt;/p&gt;","USA","2007-02-01","2010-07-08","published",,,"7"
"269","1991Friendly","1991","1991","1991","1991","Enhanced mosaic display","&lt;p&gt;Mosaic display developed as a visual analysis tool for log-linear models (beginning general methods for visualizing categorical data)&lt;/p&gt;","Canada","2008-07-17","2008-07-17","published",,,"1"
"270","1991Shneiderman","1991","1991","1991","1991","Treemaps","&lt;p&gt;Treemaps, for space-constrained visualization of hierarchies, using nested rectangles (size proportional to some numerical measure of the node)&lt;/p&gt;","USA","2008-07-17","2008-07-17","published",,,"1"
"271","1991Swayne","1991","1991","1996","1996","Xgobi, ViSta","&lt;p&gt;A spate of development and public distribution of highly interactive systems for data analysis and visualization, e.g., XGobi, ViSta&lt;/p&gt;","USA","2007-02-01","2008-07-17","published",,,"1"
"272","1992Friendly","1992","1992","1992","1992","Categorical data graphics","&lt;p&gt;Beginnings of the general extension of graphical methods to categorical (frequency) data&lt;/p&gt;","Canada","2007-02-01","2008-07-17","published",,,"1"
"273","1994Rao","1994","1994","1994","1994","Table lens","&lt;p&gt;Table lens: Focus and context technique for viewing large tables; user can expand rows or columns to see the details, while keeping surrounding context&lt;/p&gt;","Xerox Parc, USA","2008-07-17","2008-07-17","published",,,"1"
"274","1996Dykes","1996","1996","1996","1996","Cartographic data visualiser","&lt;p&gt;Cartographic Data Visualiser: a map visualization toolkit with graphical tools for viewing data, including a wide range of mapping options for exploratory spatial data analysis&lt;/p&gt;","UK","2008-07-17","2008-07-17","published",,,"1"
"275","1999Wilkinson","1999","1999","1999","1999","Grammar of Graphics","&lt;p&gt;Grammar of Graphics: A comprehensive systematization of grammatical rules for data and graphs and graph algebras within an object-oriented, computational framework&lt;/p&gt;","Chicago, USA","2007-02-01","2011-04-22","published",,,"9"
"276","2004Tufte","2004","2004","2004","2004","Sparkline","&lt;p&gt;Sparklines: &quot;data-intense, design-simple, word-sized graphics,&#039;&#039; designed to show graphic information inline with text and tables&lt;/p&gt;","USA","2007-02-01","2008-07-17","published",,,"1"
"279",,"1919","1919","1919","1919","Ethnographic maps used at Paris Peace Conference","&lt;p&gt;Use of ethnographic maps, showing the distribution of mixed nationalities, played an important role in redrawing national boundaries of Central Europe and the Balkans following World War I&lt;/p&gt;","France","2009-04-13","2012-08-16","published","De Martonne was a geographical expert and secretary of the Comit&eacute; d&#039;&eacute;tudes, established by the French in 1915 to prepare guidelines for peace and the demarcation of boundaries. In this work, he had to develop ways to represent mixed distributions of different ethnic groups",,"1"
"281",,"1679","1679","1679","1679","Network diagram on a map","&lt;p&gt;A map of England showing distances between cities arranged for the use of travellers.&lt;/p&gt;","England, UK","2009-09-16","2009-09-16","published",,,"7"
"282",,"1901","1901","1901","1901","Smoothing time series","&lt;p&gt;In one of the first statistical textbooks, Arthur Bowley (1901) illustrated an arithmetic and graphical analysis of time-series data using the total value of British and Irish exports from 1855-1899.&amp;nbsp; He presented a line graph of the time-series data, supplemented by overlaid line graphs of 3-, 5- and 10-year moving averages.&amp;nbsp; His goal was to show that while the initial series showed wide variability, moving averages made the series progressively smoother.&lt;/p&gt;","London, England, UK","2009-11-02","2009-11-02","published",,,"7"
"283",,"-100","100 BC","-100","100 BC","The first mechanical calculator","&lt;p class=&quot;MsoNormal&quot;&gt;&lt;!--[if gte mso 9]&gt;&lt;xml&gt; &lt;w:WordDocument&gt; &lt;w:View&gt;Normal&lt;/w:View&gt; &lt;w:Zoom&gt;0&lt;/w:Zoom&gt; &lt;w:PunctuationKerning /&gt; &lt;w:ValidateAgainstSchemas /&gt; &lt;w:SaveIfXMLInvalid&gt;false&lt;/w:SaveIfXMLInvalid&gt; &lt;w:IgnoreMixedContent&gt;false&lt;/w:IgnoreMixedContent&gt; &lt;w:AlwaysShowPlaceholderText&gt;false&lt;/w:AlwaysShowPlaceholderText&gt; &lt;w:Compatibility&gt; &lt;w:BreakWrappedTables /&gt; &lt;w:SnapToGridInCell /&gt; &lt;w:WrapTextWithPunct /&gt; &lt;w:UseAsianBreakRules /&gt; &lt;w:DontGrowAutofit /&gt; &lt;/w:Compatibility&gt; &lt;w:BrowserLevel&gt;MicrosoftInternetExplorer4&lt;/w:BrowserLevel&gt; &lt;/w:WordDocument&gt; &lt;/xml&gt;&lt;![endif]--&gt;&lt;!--[if gte mso 9]&gt;&lt;xml&gt; &lt;w:LatentStyles DefLockedState=&quot;false&quot; LatentStyleCount=&quot;156&quot;&gt; &lt;/w:LatentStyles&gt; &lt;/xml&gt;&lt;![endif]--&gt; &lt;!--[if gte mso 10]&gt; &lt;mce:style&gt;&lt;!   /* Style Definitions */  table.MsoNormalTable 	{mso-style-name:&quot;Table Normal&quot;; 	mso-tstyle-rowband-size:0; 	mso-tstyle-colband-size:0; 	mso-style-noshow:yes; 	mso-style-parent:&quot;&quot;; 	mso-padding-alt:0in 5.4pt 0in 5.4pt; 	mso-para-margin:0in; 	mso-para-margin-bottom:.0001pt; 	mso-pagination:widow-orphan; 	font-size:10.0pt; 	font-family:&quot;Times New Roman&quot;; 	mso-ansi-language:#0400; 	mso-fareast-language:#0400; 	mso-bidi-language:#0400;} --&gt;&lt;!--[endif]--&gt;&lt;span lang=&quot;EN-US&quot;&gt;The Antikythera Mechanism is a unique Greek geared device, constructed around the end of the second century bc. It is known that it calculated and displayed celestial information, particularly cycles such as the phases of the moon and a luni-solar calendar. &lt;br /&gt;&lt;/span&gt;&lt;/p&gt;","Antikythera, Greece","2009-11-10","2011-04-20","published","Calendars were important to ancient societies for timing agricultural activity and fixing religious festivals. Eclipses and planetary motions were often interpreted as omens, while the calm regularity of the astronomical cycles must have been philosophically attractive in an uncertain and violent world. Named after its place of discovery in 1901 in a Roman shipwreck, the Antikythera Mechanism is technically more complex than any known device for at least a millennium afterwards (Freeth et al., 2006).


",,"9"
"284",,"1850","1850","1852","1852","Muscle action","&lt;p&gt;Discovery of time course of muscle action and nerve impulses by graphical methods.&lt;/p&gt;","Germany","2010-01-05","2010-01-07","published","Helmholtz apparently used a simplified version of a recording device named Kymograph (originally invented by Carl Ludwig), to obtain graphical representation of muscle action after stimulation.  

&quot;These graphs proved that &#039;the energy of the muscle does not fully develop at the moment of an instantaneous stimulus, but only gradually increases, most often only after the stimulus has ceased, reaches a maximum, and again disappears&quot; (Holmes and Olesko, 1995)",,"7"
"285",,"2005","2005","2005","2005","Gapminder","&lt;p&gt;The moving buble chart.&lt;/p&gt;","Sweden","2010-01-26","2010-01-26","published","&quot;The main innovation from Gapminder is so far &#039;the
moving bubble chart&#039; in the form of the Trendalyzer
software that was acquired by Google in 2007. Google
has made a 2008 version freely available as Google
Motion Chart. Gapminder is a non-profit foundation founded in 2005 with a goal of &#039;&hellip;increase use and understanding of statistics and other information about social, economic and environmental development at local, national and global levels.&rdquo; (Rosling and Johansson, 2009).",,"7"
"286",,"1980","1980","1980","1980","Bifocal display","&lt;p&gt;An initial, modern suggestion of a method for viewing a large database by the use of selective focus around a central region, using distortion to provide a context.&lt;/p&gt;","London, England, UK","2010-08-09","2010-08-09","published",,,"7"
"287",,"1877","1877","1877","1877","Bayesian Distributions","&lt;p&gt;Galton&#039;s 1877 (hypothetical) machine for visualizing Bayesian inference using a prior distribution.&lt;/p&gt;","London, England, UK","2011-04-19","2011-04-20","published",,,"9"
"288",,"2002","2002","2002","2002","Tag cloud, Word cloud","&lt;p&gt;Tag clouds (also known as &quot;word clouds&quot;) are visually stimulating summaries of large bodies of text. &amp;nbsp;Their purpose is to take a selection of text and visually display the frequency of the most commonly used words within that document. &amp;nbsp;These are useful for qualitative analyses by highlighting major themes found in particular works of interest.&lt;/p&gt;",,"2011-04-20","2011-04-22","published","Many sources cite Jim Flanagan as the founder of this idea with his Search Referral Zeitgeist Perl script, although the basic idea (of using word size to designate importance) had previously been used by Douglas Coupland in his 1995 novel &quot;Microsurfs&quot;. 
Tag clouds are prominently featured on image/photo websites (such as Flickr), and blogs, where they can be used by visitors to navigate the website by theme or keyword.
For an example of a more academic use of this technology, see the attached photos, which were generated by Dr. Christopher Green of York University using the Wordle.com website.  These images (made using John Dewey&#039;s 1896 article &quot;The Reflex Arc Concept in Psychology&quot; and B. F. Skinner&#039;s 1950 article, &quot;Are Theories of Learning Necessary?&quot;) can be studied to visually compare and summarize the similarities and differences in word usage between these two major psychological texts.",,"9"
"289",,"2009","2009","2009","2009","Chord diagram","&lt;p&gt;A circular diagram desgined to facilitate the analysis of relationship among categorical and other variables using chords of a circle with various visual attributes. The main application is to genomic structure, where the chords can encode various properties of genomic sequences.&lt;/p&gt;","Canada","2012-05-04","2012-05-04","published",,,"10"
"290",,"1854","1854","1854","1854","Ordonnateur Statistique","&lt;p&gt;Guerry&#039;s ordonnateur statistique is arguably the first mechanical device invented&lt;br /&gt;to aid statistical calculation and the assessment of the relationship between&lt;br /&gt;social and moral variables.&lt;/p&gt;","France","2012-06-05","2012-06-12","published",,,"10"
